"assetAllocations__portfolioGroup","assetAllocations__portfolioValuations__currentUnits","assetAllocations__portfolioValuations__averageCost","assetAllocations__portfolioValuations__price","assetAllocations__portfolioValuations__dollarValue","assetAllocations__portfolioValuations__percentageValue","assetAllocations__portfolioValuations__nativeCurrency","assetAllocations__portfolioValuations__foreignExchangeRate","assetAllocations__portfolioValuations__cost","assetAllocations__portfolioValuations__foreignCurrencyPrice","assetAllocations__portfolioValuations__foreignCurrencyDollarValue","assetAllocations__portfolioValuations__isManagedAccount","assetAllocations__portfolioValuations__isHeldByClient","assetAllocations__portfolioValuations__assetName","assetAllocations__portfolioValuations__assetCode","assetAllocations__portfolioValuations__assetClassification","assetAllocations__portfolioValuations__assetClassType","assetAllocations__totalDollarValue","assetAllocations__totalPercentageValue","date"
"","50000","1","1","50000","9.757955094827418","","0","null","0","0","False","True","Term Deposit BOQ 2.45% 12/04/2018","BOQ0418O","Interest Bearing Deposits","Australian Fixed Interest","","",""
"International Fixed Interest","14493.83","1.9560999404574222","2.0524","29747.136692","5.8054244808045805","","0","null","0","0","False","True","Magellan Global Fund","MGE0001AU","Managed Funds - International Fixed Interest","International Fixed Interest","82788.7034404","16.156969010608147",""
"","28091.076","1.018863072386405","0.9895","27796.119702","5.424665757251273","","0","null","0","0","False","True","PIMCO Global Bond Fund - Wholesale Class","ETL0018AU","Managed Funds - International Fixed Interest","International Fixed Interest","","",""
"","23979.338","1.0454000022853007","1.0528","25245.4470464","4.926878772552293","","0","null","0","0","False","True","T. Rowe Dynamic Global Bond Fund","ETL0398AU","Managed Funds - International Fixed Interest","International Fixed Interest","","",""
"Cash","0","0","0","4912","0.9586215085158455","","0","null","0","0","False","True","Cash Account - Available Cash","","_Cash","null","10968.95","2.140690430748144",""
"","0","0","0","5000","0.9757955094827417","","0","null","0","0","False","True","Cash Account - Minimum Cash","","_Cash","null","","",""
"","0","0","0","0","0","","0","null","0","0","False","True","Cash Account - Pending","","_Cash","null","","",""
"","0","0","0","1056.95","0.20627341274955677","","0","null","0","0","False","True","Income Receivable","null","_CASH","null","","",""
"Multi Sector","43818.831","0.800820770412611","0.9002","39445.7116662","7.698189662445792","","0","null","0","0","False","True","netwealth Index Opportunities Balanced Fund","NET0002AU","Managed Funds - Multi-Sector 40 - 60% Growth","Multi Sector","39445.7116662","7.698189662445792",""
"Other","16774.05","1.1268000274233116","1.1485","19264.996425","3.7597394003432147","","0","null","0","0","False","True","Ironbark Global Diversified Alternatives Fund","DEU0109AU","Managed Funds - Alternative Investments","Other","19264.996425","3.7597394003432147",""
"Australian Equities","12243.325","1.8427167456552855","2.1232","25995.02764","5.00480912454189","","0","null","0","0","False","True","BT Wholesale Focus Australian Share Fund","RFA0059AU","Managed Funds - Australian Equities - General","Australian Equities","83255.48173567","16.029134511003427","8/08/2018"
"","1075.356","30.305312845234507","33.572","36101.851632","6.950670680675265","","0","null","0","0","False","True","Fidelity Australian Equities Fund","FID0008AU","Managed Funds - Australian Equities - General","Australian Equities","","",""
"","16036.169","1.7857369799482656","1.31943","21158.60246367","4.07365470578627","","0","null","0","0","False","True","Perpetual W/S Australian Share Fund","PER0049AU","Managed Funds - Australian Equities - General","Australian Equities","","",""
"International Equities","15077.643","0.9402000034090209","1.2457","18782.2198851","3.616131006356592","","0","null","0","0","False","True","BT Global Emerging Markets Opp Fund - Wholesale","BTA0419AU","Managed Funds - International Equities","International Equities","94054.9006427","18.108341005190248",""
"","5312","1.4118975903614457","1.64","8711.68","1.67725521041566","","0","null","0","0","False","True","Magellan Global Trust","MGG","ASX - International Equities LIC","International Equities","","",""
"","14853.559","1.3294706002783576","0.9056","13451.3830304","2.589787764820929","","0","null","0","0","False","True","MFS Fully Hedged Global Equity Trust","ETL0041AU","Managed Funds - International Equities","International Equities","","",""
"","12438.467","1.3005195897533033","1.2371","15387.6275257","2.962571908451155","","0","null","0","0","False","True","RARE Infrastructure Value Fund - Unhedged","TGP0034AU","Managed Funds - International Equities","International Equities","","",""
"","18218.783","1.8044212942214637","2.0705","37721.9902015","7.2625951151459125","","0","null","0","0","False","True","Zurich Investments Unhdgd Global Growth Share Fund","ZUR0581AU","Managed Funds - International Equities","International Equities","","",""
"Property","14031.378","1.5932690288865428","1.7147","24059.6038566","4.632182992146068","","0","null","0","0","False","True","APN AREIT Fund","APN0008AU","Managed Funds - Australian Property Securities","Property","24059.6038566","4.632182992146068",""
"Australian Fixed Interest","40735.901","1.0769323599838874","1.03898","42323.78642098","8.148576543113183","","0","null","0","0","False","True","AMP Capital Corporate Bond Fund A","AMP0557AU","Managed Funds - Australian Fixed Interest","Australian Fixed Interest","164583.75133798","31.68722387431383",""
